grau,nome,cidade,código,conceito,situação,siglaIes,modalidade,idPrograma,idModalidade,programaEmRede,idAreaAvaliacao,nomeAreaAvaliacao,idAreaConhecimento,nomeAreaConhecimento,idModalidadeEnsino,nomeModalidadeEnsino,idGrandeAreaConhecimento,nomeGrandeAreaConhecimento
Mestrado/Doutorado,ESTUDO DE LINGUAGENS,salvador,28005015003P3,4,EM FUNCIONAMENTO,UNEB,ACADÊMICO,202564,1,0,41,LINGUíSTICA E LITERATURA,90,LETRAS,1,Educação Presencial,8,"LINGÜÍSTICA, LETRAS E ARTES"
Mestrado/Doutorado,"ESTUDOS INTERDISCIPLINARES SOBRE MULHERES, GÊNERO E FEMINISMO",salvador,28001010056P8,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,202542,1,0,45,INTERDISCIPLINAR,428,"SOCIAIS, CULTURAS E HUMANIDADES",1,Educação Presencial,10,MULTIDISCIPLINAR
Mestrado/Doutorado,ARQUITETURA E URBANISMO,salvador,28001010019P5,6,EM FUNCIONAMENTO,UFBA,ACADÊMICO,373,1,0,29,"ARQUITETURA, URBANISMO E DESIGN",77,ARQUITETURA E URBANISMO,1,Educação Presencial,6,CIÊNCIAS SOCIAIS APLICADAS
Mestrado/Doutorado,MÚSICA,salvador,28001010026P1,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,380,1,0,11,ARTES,467,MÚSICA,1,Educação Presencial,8,"LINGÜÍSTICA, LETRAS E ARTES"
Mestrado/Doutorado,BOTÂNICA,Feira de Santana,28002016002P8,5,EM FUNCIONAMENTO,UEFS,ACADÊMICO,397,1,0,7,BIODIVERSIDADE,34,BOTÂNICA,1,Educação Presencial,2,CIÊNCIAS BIOLÓGICAS
Mestrado,ADMINISTRAÇÃO,salvador,28013018004P9,4,EM FUNCIONAMENTO,salvador,ACADÊMICO,414,1,0,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",75,ADMINISTRAÇÃO,1,Educação Presencial,6,CIÊNCIAS SOCIAIS APLICADAS
Mestrado/Doutorado,ESTUDOS ÉTNICOS E AFRICANOS,salvador,28001010048P5,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,52314,1,0,45,INTERDISCIPLINAR,428,"SOCIAIS, CULTURAS E HUMANIDADES",1,Educação Presencial,10,MULTIDISCIPLINAR
Mestrado/Doutorado,Engenharias Elétrica e de Computação,salvador,28001010037P3,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,387,1,0,14,ENGENHARIAS IV,41,ENGENHARIA ELÉTRICA,1,Educação Presencial,3,ENGENHARIAS
Mestrado,SISTEMAS AQUÁTICOS TROPICAIS,ilhéus,28007018006P5,3,EM FUNCIONAMENTO,UESC,ACADÊMICO,408,1,1,7,BIODIVERSIDADE,17,ECOLOGIA,1,Educação Presencial,2,CIÊNCIAS BIOLÓGICAS
Mestrado,FÍSICA,ilhéus,28007018010P2,3,EM FUNCIONAMENTO,UESC,ACADÊMICO,204044,1,0,3,ASTRONOMIA / FÍSICA,15,FÍSICA,1,Educação Presencial,1,CIÊNCIAS EXATAS E DA TERRA
